date,ADRO.JK,AMRT.JK,ANTM.JK,ASII.JK,BBCA.JK,BBNI.JK,BBRI.JK,BMRI.JK,BRPT.JK,ICBP.JK,INDF.JK,INKP.JK,ITMG.JK,KLBF.JK,PTBA.JK,SMGR.JK,TLKM.JK,TPIA.JK,UNTR.JK,UNVR.JK
2024-08-29,3520.0,2850.0,1410.0,5075.0,10225.0,5300.0,5125.0,7100.0,1140.0,11400.0,6800.0,8350.0,27175.0,1700.0,2780.0,4020.0,3030.0,9400.0,27325.0,2240.0
2024-08-30,3560.0,2900.0,1390.0,5100.0,10325.0,5350.0,5150.0,7125.0,1145.0,11475.0,6850.0,8100.0,27225.0,1650.0,2730.0,4010.0,3060.0,9975.0,27050.0,2270.0
2024-09-02,3610.0,2890.0,1395.0,5200.0,10275.0,5350.0,5175.0,7200.0,1120.0,11500.0,6725.0,8100.0,27675.0,1680.0,2820.0,4090.0,3140.0,9600.0,27900.0,2290.0
2024-09-03,3600.0,2870.0,1370.0,5125.0,10175.0,5375.0,5175.0,7075.0,1105.0,11375.0,6775.0,8100.0,27800.0,1680.0,2800.0,4030.0,3080.0,9450.0,27775.0,2250.0
2024-09-04,3560.0,2900.0,1345.0,5050.0,10300.0,5350.0,5100.0,7175.0,1110.0,11400.0,6700.0,8125.0,27500.0,1730.0,2760.0,3980.0,3080.0,9525.0,27650.0,2240.0
2024-09-05,3550.0,2890.0,1345.0,5075.0,10250.0,5450.0,5150.0,7175.0,1095.0,11650.0,6975.0,8300.0,27275.0,1690.0,2750.0,4030.0,3020.0,9450.0,27525.0,2220.0
2024-09-06,3470.0,2920.0,1335.0,5050.0,10300.0,5650.0,5225.0,7250.0,1085.0,11450.0,7025.0,8150.0,27225.0,1710.0,2710.0,4020.0,3040.0,9425.0,27050.0,2220.0
2024-09-09,3490.0,2950.0,1320.0,5025.0,10275.0,5725.0,5175.0,7250.0,1090.0,11600.0,6925.0,8425.0,27225.0,1740.0,2680.0,4000.0,3030.0,9400.0,27250.0,2190.0
2024-09-10,3490.0,3040.0,1320.0,5025.0,10350.0,5700.0,5250.0,7250.0,1100.0,11575.0,7050.0,8550.0,26100.0,1740.0,2670.0,4000.0,3030.0,9275.0,26700.0,2210.0
2024-09-11,3520.0,3120.0,1315.0,5025.0,10425.0,5650.0,5175.0,7375.0,1190.0,11575.0,7000.0,8350.0,26000.0,1720.0,2660.0,3970.0,3040.0,8950.0,26225.0,2190.0
2024-09-12,3850.0,3220.0,1345.0,5025.0,10475.0,5600.0,5175.0,7300.0,1150.0,11475.0,7150.0,8400.0,26375.0,1740.0,2720.0,3960.0,3050.0,9025.0,26350.0,2220.0
2024-09-13,3670.0,3150.0,1335.0,5075.0,10425.0,5625.0,5300.0,7275.0,1140.0,11325.0,7100.0,8375.0,26200.0,1705.0,2730.0,3950.0,3110.0,9000.0,26350.0,2200.0
2024-09-17,3760.0,3150.0,1380.0,5075.0,10500.0,5650.0,5300.0,7425.0,1145.0,11400.0,7100.0,8275.0,25850.0,1705.0,2800.0,3960.0,3090.0,8925.0,26675.0,2180.0
2024-09-18,3650.0,3160.0,1365.0,5250.0,10625.0,5700.0,5350.0,7400.0,1140.0,11500.0,7075.0,8325.0,25925.0,1750.0,2780.0,3910.0,3120.0,8850.0,26725.0,2210.0
2024-09-19,3660.0,3120.0,1375.0,5275.0,10900.0,5825.0,5400.0,7400.0,1195.0,11700.0,7075.0,8325.0,26000.0,1730.0,2780.0,3890.0,3140.0,9000.0,26625.0,2200.0
2024-09-20,3690.0,3120.0,1370.0,5225.0,10775.0,5750.0,5375.0,7300.0,1065.0,12000.0,7150.0,8225.0,25900.0,1720.0,2950.0,3910.0,3150.0,8050.0,26925.0,2170.0
2024-09-23,3700.0,3220.0,1395.0,5225.0,10950.0,5800.0,5500.0,7450.0,1075.0,12200.0,7100.0,8300.0,26175.0,1735.0,3120.0,3830.0,3170.0,8725.0,27125.0,2210.0
2024-09-24,3740.0,3330.0,1410.0,5275.0,10800.0,5800.0,5525.0,7425.0,1120.0,12425.0,7175.0,8400.0,26900.0,1745.0,3100.0,3820.0,3160.0,8600.0,27375.0,2260.0
2024-09-25,3690.0,3250.0,1440.0,5225.0,10850.0,5600.0,5325.0,7200.0,1105.0,12450.0,7175.0,8500.0,26525.0,1740.0,3080.0,3870.0,3190.0,8950.0,27450.0,2300.0
2024-09-26,3780.0,3280.0,1425.0,5250.0,10700.0,5600.0,5050.0,7175.0,1105.0,12775.0,7225.0,8475.0,26500.0,1740.0,3110.0,3900.0,3170.0,9150.0,27300.0,2300.0
2024-09-27,3910.0,3200.0,1470.0,5100.0,10650.0,5450.0,5100.0,7050.0,1090.0,12650.0,7175.0,8525.0,26500.0,1735.0,3140.0,3850.0,3050.0,8875.0,27700.0,2270.0
